t,x,y,match,team,player,won,tstd,tsync,tper,tier,zone
2057266,71,92,580795951,dire,RoX%2EKIS%2EGoblak%20HandsOffFromUA,0,1521533,1522,0.000729183534824982,Pro,jungle dire
2053800,73,89,580795951,dire,RoX%2EKIS%2ESedoy,0,1518067,1519,0.000727746247962646,Pro,jungle dire
2056866,74,91,580795951,dire,RoX%2EKIS%2ESolo,0,1521133,1522,0.000729183534824982,Pro,jungle dire
2087266,117,109,580795951,dire,RoX%2EKIS%2Eyol,0,1551533,1552,0.000743556403448339,Pro,base2 dire
2083266,89,82,580795951,radiant,standin%2Emason,1,1547533,1548,0.000741640020965224,Pro,midlane dire
2460266,35,9,588972183,radiant,%2A%2A%2A,0,1687900,1688,0.00068610467323452,Pro,base1 radiant
2460266,30,13,588972183,dire,%40Foggeddota,1,1687900,1688,0.00068610467323452,Pro,base1 radiant
2460266,36,10,588972183,dire,%40MiSeRyDOTA,1,1687900,1688,0.00068610467323452,Pro,bottomlane radiant
2460266,29,10,588972183,dire,%40MSSDota,1,1687900,1688,0.00068610467323452,Pro,base1 radiant
2460266,27,9,588972183,dire,%40PajkattDota,1,1687900,1688,0.00068610467323452,Pro,base1 radiant
2460266,34,10,588972183,radiant,MYM%20%7C%20Ryze,0,1687900,1688,0.00068610467323452,Pro,base1 radiant
2460266,35,13,588972183,radiant,MYM%20Cr1t%2D,0,1687900,1688,0.00068610467323452,Pro,base1 radiant
2460266,29,8,588972183,radiant,MYM%20LINK,0,1687900,1688,0.00068610467323452,Pro,base1 radiant
2460266,25,6,588972183,radiant,MYM%20unicorn,0,1687900,1688,0.00068610467323452,Pro,void radiant
2460266,31,16,588972183,dire,smulgullig,1,1687900,1688,0.00068610467323452,Pro,base1 radiant
3183733,35,45,589072947,dire,%5BA%5D%20EGM%20HyperX,1,2523000,2523,0.000792416172073973,Pro,jungle radiant
3183866,25,40,589072947,dire,%5BA%5D%20s4%20HyperX,1,2523133,2524,0.000792730249034763,Pro,jungle radiant
3183733,20,46,589072947,dire,%5BA%5DdmiralBulldog%20HyperX,1,2523000,2523,0.000792416172073973,Pro,jungle radiant
