x,y,count
40,100,1
16,98,5
16,87,5
13,99,3
74,114,2
77,32,1
80,116,1
84,28,3
78,91,1
111,31,9
81,79,2
83,72,3
120,56,1
29,95,3
64,63,7
110,19,5
88,50,4
64,99,2
82,4,1
29,115,3
57,51,6
55,55,11
75,38,1
78,106,3
59,43,2
59,56,14
86,33,2
94,85,11
47,48,6
9,93,7
114,48,12
31,31,5
70,57,3
10,95,3
33,29,9
72,29,1
70,13,2
117,26,3
77,22,2
55,46,5
7,12,6
12,90,6
37,9,6
65,16,2
58,57,5
121,31,2
80,13,2
57,82,8
81,72,6
71,64,6
37,100,3
6,71,4
60,40,2
37,70,3
73,76,4
96,68,2
67,106,1
47,108,3
68,86,2
9,95,3
16,92,9
55,41,4
62,76,2
32,95,2
31,34,2
81,76,4
32,105,1
80,63,1
9,91,1
62,40,3
122,73,3
88,45,2
64,91,1
13,89,7
118,31,2
114,56,6
29,33,11
42,98,1
6,9,48
17,57,3
52,41,1
78,70,5
14,83,5
20,100,12
16,59,2
56,36,4
93,50,5
79,61,1
18,101,3
25,98,2
67,42,1
49,14,3
4,35,1
114,9,2
107,14,3
91,11,4
60,55,3
13,91,5
18,67,1
38,14,4
110,31,2
95,10,4
98,10,1
13,103,4
6,46,1
55,37,3
6,13,2
37,46,3
34,7,2
60,61,7
58,58,8
90,43,1
88,65,1
100,24,2
91,58,1
112,75,6
108,75,1
28,106,3
77,24,1
102,21,4
109,83,2
99,86,2
34,116,1
45,63,3
76,64,4
56,53,9
77,18,2
118,25,2
114,57,3
80,50,5
98,91,2
17,100,2
72,30,1
25,93,3
36,104,1
100,27,1
84,69,2
59,83,2
51,48,4
16,86,12
35,12,43
91,66,1
17,59,4
59,47,4
66,47,1
46,109,3
98,29,1
56,40,2
83,41,4
96,71,2
29,80,1
73,78,4
96,77,2
50,101,3
63,65,4
109,26,2
84,79,2
46,95,1
61,98,2
85,56,1
63,48,3
32,7,2
47,47,8
33,110,1
15,102,2
97,17,2
13,46,3
93,65,2
78,77,1
9,4,18
86,73,5
55,105,3
121,60,1
79,80,3
40,96,5
27,102,5
89,85,5
19,83,2
78,27,4
33,84,1
115,38,3
78,69,2
119,9,1
30,111,2
63,70,7
47,56,1
18,112,2
88,48,3
106,13,2
106,55,3
104,24,2
110,23,7
117,30,4
66,9,3
54,45,4
121,35,1
111,21,7
99,11,5
38,51,2
39,49,4
47,45,3
18,50,1
22,82,3
43,44,4
15,51,1
53,48,6
39,71,3
37,37,4
56,59,2
50,48,4
37,32,5
52,39,3
16,56,1
9,17,2
14,73,6
15,75,8
37,103,2
106,54,1
39,50,3
13,6,10
16,70,2
58,69,3
15,70,2
10,16,9
113,29,8
49,62,3
79,45,2
31,32,11
52,50,8
20,46,1
10,56,1
10,40,2
17,66,3
54,9,3
9,18,4
8,17,1
12,63,3
33,56,1
34,36,4
17,54,1
13,45,3
19,63,7
18,46,1
9,19,1
11,39,7
18,9,6
26,8,9
24,8,3
38,12,8
103,14,2
108,9,2
121,26,3
62,72,4
96,12,2
52,93,4
103,13,1
27,61,1
8,13,2
50,56,1
113,28,9
109,20,6
52,13,1
14,98,2
82,10,2
108,38,2
57,11,1
53,15,4
103,7,7
101,10,1
42,54,5
76,73,5
42,53,2
14,50,1
19,41,1
94,29,6
42,69,3
112,21,2
42,56,3
7,94,3
36,24,1
116,22,1
67,100,2
115,36,5
77,62,4
41,54,4
110,40,5
11,43,2
47,46,7
66,74,1
40,31,2
30,107,3
35,105,2
48,97,1
100,54,2
27,109,4
76,69,2
112,37,5
78,67,1
113,75,3
65,11,3
62,58,16
89,83,4
87,74,4
39,13,5
51,50,7
83,67,1
112,51,5
76,60,4
111,22,5
111,64,7
78,12,2
91,71,1
88,71,3
15,46,2
18,107,2
14,101,1
20,103,2
76,57,2
54,49,4
112,56,4
59,60,3
54,11,7
80,44,1
11,45,1
6,11,20
44,58,3
13,79,7
43,58,4
37,27,2
18,71,1
51,47,4
59,98,1
65,93,4
101,15,3
104,53,4
85,89,2
84,101,1
110,60,4
106,67,1
84,10,1
109,29,3
99,10,5
17,60,1
72,39,1
58,61,8
15,100,5
46,66,3
110,78,1
8,96,1
51,45,5
99,14,1
52,52,2
92,50,5
59,68,2
47,87,4
109,77,3
114,38,5
96,99,1
115,91,1
88,40,5
117,93,1
111,23,5
5,8,43
110,24,6
97,50,2
85,92,1
117,102,3
112,105,1
113,32,5
57,52,4
98,20,1
79,75,1
84,71,6
98,24,1
19,71,2
62,57,6
60,62,2
58,59,8
55,56,10
63,72,4
62,61,7
75,57,4
71,61,7
122,49,2
58,51,6
97,30,2
40,109,1
37,102,2
74,65,7
37,112,1
46,52,3
41,42,2
48,98,1
55,50,6
18,52,1
92,28,3
43,45,5
18,94,2
77,41,4
55,71,2
78,55,2
81,29,3
122,34,2
26,104,7
39,101,2
90,49,2
94,82,2
116,64,1
33,106,2
14,96,3
16,104,3
114,28,3
47,115,1
84,60,1
105,54,5
123,41,1
19,74,1
64,69,3
68,65,5
58,54,9
66,59,8
59,61,9
33,92,3
47,101,2
83,27,1
75,54,1
62,68,4
103,20,1
87,107,1
35,98,3
15,98,4
71,41,2
112,28,4
102,29,3
71,76,2
85,107,4
96,76,1
74,25,1
86,30,2
65,59,12
114,54,2
102,28,1
115,40,7
74,112,1
92,106,2
114,34,9
33,30,9
35,99,5
81,48,2
54,54,5
105,7,5
98,54,2
99,24,2
114,47,10
30,109,2
85,53,7
81,49,1
110,25,4
99,57,1
96,13,2
89,48,4
107,18,4
116,25,2
58,56,5
70,18,3
115,68,2
116,100,2
33,28,6
109,18,5
103,15,6
77,73,1
54,87,2
103,58,1
86,83,3
57,69,4
71,91,1
54,63,3
74,64,9
105,59,1
86,86,3
111,78,1
67,78,3
50,55,1
105,13,6
58,106,3
89,22,1
73,51,2
58,11,2
87,81,2
107,107,2
16,75,6
76,68,3
101,29,4
87,28,2
49,50,5
74,102,3
71,57,5
65,107,2
66,107,2
86,80,5
91,62,2
109,19,3
15,74,2
57,44,2
38,79,1
24,37,1
23,33,7
106,34,8
111,33,4
106,16,6
113,34,5
108,18,4
108,16,5
64,9,4
53,49,6
97,51,1
56,51,6
77,12,2
13,83,6
31,110,2
13,81,5
9,94,8
19,92,1
20,96,4
29,63,3
32,45,3
14,42,1
64,62,11
34,69,2
9,40,3
20,34,9
66,62,5
41,43,3
69,36,2
86,19,5
69,11,1
114,55,1
113,30,2
104,34,2
108,20,4
108,11,4
65,60,9
42,42,5
63,39,5
31,30,15
48,9,1
93,60,1
116,107,4
22,98,2
15,76,5
64,68,2
27,114,2
100,12,3
74,10,1
116,30,5
113,21,2
68,61,6
43,89,2
7,93,6
94,60,3
20,9,8
119,111,1
56,83,5
32,37,2
69,37,3
19,35,1
118,108,7
17,7,1
76,46,1
49,87,2
13,60,4
116,86,1
63,108,3
111,17,1
60,80,2
114,25,1
112,89,3
21,65,2
91,85,4
89,108,1
64,75,1
79,38,1
49,93,3
98,79,1
60,102,3
83,104,3
56,70,4
78,30,2
33,36,3
74,108,1
55,53,12
40,53,3
110,82,1
114,86,3
99,105,2
73,75,3
44,47,4
60,59,5
57,92,3
19,91,2
42,15,2
29,7,6
103,9,4
63,82,1
14,104,1
79,27,2
50,46,1
115,24,2
62,74,2
41,72,2
51,69,2
80,26,6
12,5,21
49,33,3
14,100,2
16,81,2
46,65,3
59,41,3
73,57,2
76,67,4
94,14,1
85,71,4
22,104,6
49,29,1
82,24,1
113,25,3
112,32,4
95,40,1
91,39,4
68,76,3
14,82,4
62,99,1
22,92,1
118,35,2
79,46,1
113,35,5
78,80,1
42,44,3
30,3,1
107,64,1
110,79,1
32,3,1
83,84,4
57,81,1
119,34,1
84,32,1
38,106,3
73,110,1
115,56,2
84,78,3
33,5,1
12,91,7
115,44,5
13,66,3
74,26,3
40,52,4
78,61,3
40,45,2
37,10,7
41,53,5
83,20,2
43,54,1
37,49,2
39,52,2
42,57,1
104,25,6
29,66,2
46,63,3
101,18,1
62,38,4
9,65,2
118,57,1
82,26,2
27,71,1
118,62,1
8,65,1
119,14,1
49,49,10
106,14,3
6,61,2
45,57,1
8,72,1
118,21,1
21,98,4
116,21,2
119,47,1
39,38,4
113,38,4
39,42,3
116,56,1
8,108,2
67,60,6
82,85,3
106,15,4
36,101,7
30,42,2
7,88,1
82,6,1
87,22,2
27,116,2
44,46,5
105,6,2
9,77,2
38,50,2
45,106,5
41,7,2
48,52,4
18,93,5
6,50,1
111,60,4
113,19,1
44,43,4
33,47,1
31,3,1
110,107,1
118,32,2
106,44,1
41,49,2
122,47,1
75,114,1
42,41,2
72,87,1
121,64,1
108,76,1
44,12,3
33,32,3
61,59,3
110,106,2
27,70,1
121,56,1
109,24,3
110,15,3
111,56,2
35,70,3
118,95,1
16,72,3
51,67,2
76,38,1
14,79,5
16,66,3
114,41,6
96,93,1
67,109,1
56,108,2
80,104,3
95,85,14
92,86,2
50,45,1
93,88,16
38,102,2
111,81,1
50,50,8
97,79,1
86,78,3
83,78,1
55,98,2
116,74,2
71,10,3
75,69,2
64,106,2
82,90,2
92,81,1
90,79,1
91,86,4
81,87,1
39,40,5
53,82,1
82,68,4
88,49,3
70,64,6
107,56,1
82,71,3
98,87,2
119,31,5
47,55,1
45,32,8
35,32,3
52,97,1
79,24,1
61,76,2
21,38,1
43,30,1
55,69,2
39,31,2
73,68,2
79,71,4
16,91,5
38,47,10
64,66,2
60,106,2
65,14,1
29,88,2
35,35,2
89,78,5
15,6,2
100,14,2
96,21,4
31,96,3
34,39,1
81,71,5
65,17,1
44,38,1
15,38,8
89,81,3
101,91,1
102,91,1
107,15,3
115,30,2
105,57,2
12,64,3
56,42,3
64,11,4
58,12,3
64,77,1
51,106,3
67,14,1
14,43,2
20,39,1
60,38,2
83,83,2
104,95,2
97,94,2
17,94,7
22,106,3
15,86,5
67,76,4
71,20,5
41,55,1
32,34,4
85,78,4
17,65,1
122,21,2
103,12,2
119,26,7
33,101,1
82,28,1
98,37,2
63,63,3
96,49,3
115,31,1
95,13,3
80,27,3
89,18,4
112,27,6
83,46,3
67,77,6
73,65,5
117,94,2
106,24,2
97,52,2
82,82,1
7,107,1
83,32,6
17,52,3
12,86,4
113,46,11
46,97,1
14,39,6
12,81,3
97,21,3
77,96,1
105,16,4
108,22,3
105,15,1
111,35,5
16,60,2
36,35,4
101,13,5
12,62,1
35,103,1
20,90,8
56,57,10
47,114,1
60,103,3
77,80,2
75,18,2
92,102,1
55,39,1
57,55,13
76,74,2
91,70,1
60,44,2
81,90,2
50,97,2
79,53,3
74,55,2
104,85,2
87,103,2
39,103,1
14,84,4
17,79,4
34,103,1
64,95,3
89,56,1
102,25,2
87,92,1
84,89,4
16,118,1
42,114,1
66,93,2
72,108,1
104,33,7
64,109,3
62,103,2
63,73,4
100,68,3
88,102,3
15,91,5
44,75,2
62,9,2
114,51,4
50,10,3
49,10,3
52,47,3
45,52,4
50,12,4
113,50,3
47,107,5
83,70,3
45,9,1
36,9,15
119,109,2
97,31,1
